,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
91,3,Avedmat,,,,0.0054938793182373,,,,22
92,0,1,0.65,0.8802627890348984,0.9943875378439282,0.8339190483093262,5.55933,25.0,1.0,23
93,1,2,0.4488007189139351,0.8479502040187494,0.8709329012425516,699.1675686836243,5.55933,25.0,501.0,23
94,2,MapOutlier,,,,0.0,5.55933,,,23
95,3,Avedmat,,,,0.0054938793182373,,,,23
96,0,1,0.63,0.8806664342373053,0.9940995704526728,1.4077632427215576,5.51466,25.0,1.0,24
97,1,2,0.4294467305553501,0.8432962204068726,0.8752308123456861,1017.9012048244476,5.51466,25.0,501.0,24
98,2,MapOutlier,,,,0.0,5.51466,,,24
99,3,Avedmat,,,,0.0054938793182373,,,,24
100,0,1,0.6599999999999999,0.8696369965218808,0.9939429052923436,3.0999505519866943,5.30713,25.0,1.0,25
101,1,2,0.4282966270996543,0.8466947905725593,0.8760179377804467,1094.810987949371,5.30713,25.0,501.0,25
102,2,MapOutlier,,,,0.0,5.30713,,,25
103,3,Avedmat,,,,0.0054938793182373,,,,25
104,0,1,0.6599999999999999,0.8619242685942108,0.9931141797768258,0.9792325496673584,5.18461,25.0,1.0,26
105,1,2,0.4177268111464549,0.8411814338983773,0.8730290667425612,672.6422979831696,5.18461,25.0,501.0,26
106,2,MapOutlier,,,,0.0,5.18461,,,26
107,3,Avedmat,,,,0.0054938793182373,,,,26
108,0,1,0.69,0.8803534929123166,0.9942185981370424,1.040224313735962,5.39842,25.0,1.0,27
109,1,2,0.4377448267107463,0.8451557407697596,0.8754591762696069,674.7053871154785,5.39842,25.0,501.0,27
110,2,MapOutlier,,,,0.0,5.39842,,,27
111,3,Avedmat,,,,0.0054938793182373,,,,27
112,0,1,0.6699999999999999,0.8748105675228438,0.9931041920048392,1.7516179084777832,5.28753,25.0,1.0,28
113,1,2,0.4281639797659317,0.847814454003348,0.8701009850434404,569.8455400466919,5.28753,25.0,501.0,28
114,2,MapOutlier,,,,0.0,5.28753,,,28
115,3,Avedmat,,,,0.0054938793182373,,,,28
116,0,1,0.6599999999999999,0.8673141712387908,0.992827242590575,1.2627317905426023,5.41839,25.0,1.0,29
117,1,2,0.4360477453006689,0.8480911579024704,0.8721055670538824,516.8503565788269,5.41839,25.0,501.0,29
118,2,MapOutlier,,,,0.0,5.41839,,,29
119,3,Avedmat,,,,0.0054938793182373,,,,29
120,0,1,0.64,0.8906634111465179,0.994845597846822,0.570244550704956,5.46036,25.0,1.0,30
121,1,2,0.4383632810675457,0.8457256769096032,0.8748290429585888,1141.5412833690643,5.46036,25.0,501.0,30
122,2,MapOutlier,,,,0.0,5.46036,,,30
123,3,Avedmat,,,,0.0054938793182373,,,,30
124,0,1,0.69,0.8763926518285114,0.9945392147282336,0.8768746852874756,5.41346,25.0,1.0,31
125,1,2,0.4294828025088585,0.8448235060794613,0.8731187672368619,935.0044214725494,5.41346,25.0,501.0,31
126,2,MapOutlier,,,,0.0,5.41346,,,31
127,3,Avedmat,,,,0.0054938793182373,,,,31
128,0,1,0.6799999999999999,0.8842184667383887,0.9950809271973264,0.9192118644714355,5.90319,25.0,1.0,32
129,1,2,0.4378458748633341,0.8490793262897626,0.8793976980893968,763.5444676876068,5.90319,25.0,501.0,32
130,2,MapOutlier,,,,0.0,5.90319,,,32
131,3,Avedmat,,,,0.0054938793182373,,,,32
132,0,1,0.6,0.8494413087987004,0.9934186442003812,0.7281279563903809,5.17965,25.0,1.0,33
133,1,2,0.4161797087166667,0.8431179590230394,0.8777446008129113,1053.514945268631,5.17965,25.0,501.0,33
