method,dim,lineage,corr_pseudotime,corr_rc_radius,local-global,local-global-num
PCA,9,ABpxppaa,0.7200906276318364,0.6999233742662072,local,4
PCA,9,ABpxpaap,0.5259970584315583,0.5794269772189323,local,4
PCA,9,ABpxpaaa,0.5508666904786862,0.6552033647241485,local,4
PCA,9,ABpxp,0.2704710430242119,0.34343635691028185,global,1
PCA,9,ABpxpp,0.5634656663407104,0.6130169564743921,global,2
PCA,9,ABpxpa,0.5847184821874329,0.5815859072203108,global,2
PCA,9,ABpxppp,0.552028702455259,0.5848195446999328,global,3
PCA,9,ABpxppa,0.5949559263995656,0.596439721953771,global,3
PCA,9,ABpxpap,0.6639085703413374,0.6303556847306035,global,3
PCA,9,ABpxpaa,0.5674524265606706,0.6408953460909369,global,3
UMAP,9,ABpxpppp,0.5596371783954339,0.5396301937607486,local,4
UMAP,9,ABpxpppa,0.6529874954053233,0.6996057681188045,local,4
UMAP,9,ABpxppap,0.6977126095938156,0.6352518330054351,local,4
UMAP,9,ABpxppaa,0.5948468290826484,0.6389112822008226,local,4
UMAP,9,ABpxpaap,0.7687694713273239,0.7871810355541785,local,4
UMAP,9,ABpxpaaa,0.1410102464624609,0.5604441086781848,local,4
UMAP,9,ABpxp,0.2767180168866756,0.40445317180954793,global,1
UMAP,9,ABpxpp,0.64567038666351,0.6039253655134055,global,2
UMAP,9,ABpxpa,0.7293358885310097,0.6119983756249121,global,2
UMAP,9,ABpxppp,0.694552402965531,0.6339201972604348,global,3
UMAP,9,ABpxppa,0.5380314157800278,0.6060107865385549,global,3
UMAP,9,ABpxpap,0.6681984154750698,0.5231036753837797,global,3
UMAP,9,ABpxpaa,0.521625960223497,0.46475552834869727,global,3
hMDS,10,ABpxpppp,0.4024885249654691,0.5897515334690848,local,4
hMDS,10,ABpxpppa,0.6426100054119582,0.6470461266030126,local,4
hMDS,10,ABpxppap,0.4913501934881121,0.6657465465340104,local,4
hMDS,10,ABpxppaa,0.6149745443004677,0.7452102375246903,local,4
hMDS,10,ABpxpaap,0.6079242674692089,0.7086839079529577,local,4
hMDS,10,ABpxpaaa,0.6051443560759259,0.7076377708612736,local,4
hMDS,10,ABpxp,0.791733951236079,0.5162525173819941,global,1
hMDS,10,ABpxpp,0.8810048668888685,0.7308566954454816,global,2
hMDS,10,ABpxpa,0.8596066951818699,0.6592669160836574,global,2
hMDS,10,ABpxppp,0.7271794597480203,0.6670386925592869,global,3
hMDS,10,ABpxppa,0.6332090281413477,0.6945578220315303,global,3
hMDS,10,ABpxpap,0.6607362519024667,0.7799890626610811,global,3
hMDS,10,ABpxpaa,0.6439469673621243,0.6772219624161614,global,3
PCA,10,ABpxpppp,0.46918143319795363,0.5862849676796441,local,4
PCA,10,ABpxpppa,0.4947736162648899,0.5778824186314984,local,4
PCA,10,ABpxppap,0.5714746888573856,0.6359239337178803,local,4
PCA,10,ABpxppaa,0.714830958984778,0.6977055898654911,local,4
PCA,10,ABpxpaap,0.5712807246934398,0.5926276108702234,local,4
PCA,10,ABpxpaaa,0.5478007973179332,0.6536691671751863,local,4
PCA,10,ABpxp,0.1974931183611693,0.33297905265535926,global,1
PCA,10,ABpxpp,0.5827254543070317,0.6130692460703483,global,2
PCA,10,ABpxpa,0.5645314258000701,0.5558493195268767,global,2
PCA,10,ABpxppp,0.5794410251201276,0.5940034351902628,global,3
PCA,10,ABpxppa,0.6153303157225412,0.5810134249317832,global,3
PCA,10,ABpxpap,0.6271891249881102,0.6214204140089618,global,3
PCA,10,ABpxpaa,0.551831428265701,0.6326802093790515,global,3
UMAP,10,ABpxpppp,0.5502994579935859,0.5074649040950068,local,4
UMAP,10,ABpxpppa,0.7193181028518613,0.6949449292517411,local,4
UMAP,10,ABpxppap,0.6867509333271183,0.6299671281862537,local,4
UMAP,10,ABpxppaa,0.6284226051056103,0.6424725065448604,local,4
UMAP,10,ABpxpaap,0.7752893198895893,0.7686667973973809,local,4
UMAP,10,ABpxpaaa,0.811206746161202,0.46652845851365676,local,4
UMAP,10,ABpxp,0.2816882480620876,0.40753317061294964,global,1
UMAP,10,ABpxpp,0.6291808330009521,0.6014424260238622,global,2
UMAP,10,ABpxpa,0.7395608561005944,0.5852804345863226,global,2
UMAP,10,ABpxppp,0.6098810154025889,0.6255249860349901,global,3
UMAP,10,ABpxppa,0.520967781719655,0.5784951656791434,global,3
UMAP,10,ABpxpap,0.7241361606557922,0.5178161810839793,global,3
UMAP,10,ABpxpaa,0.4110823509363422,0.43846907760829085,global,3
